train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,32,0.068973319077491949
NYU_0050956,NYU_0050954,32,0.055598400499051397
NYU_0050957,NYU_0050954,32,0.093683425304899176
NYU_0050958,NYU_0050954,32,0.10635423461454142
NYU_0050959,NYU_0050954,32,0.074097463941334818
NYU_0050960,NYU_0050954,32,0.026897350814551014
NYU_0050961,NYU_0050954,32,0.036243118324633748
NYU_0050962,NYU_0050954,32,0.053910293787877143
NYU_0050964,NYU_0050954,32,0.081792635058127866
NYU_0050965,NYU_0050954,32,0.093197071716704327
NYU_0050966,NYU_0050954,32,0.043918907194945719
NYU_0050967,NYU_0050954,32,0.050846129328233861
NYU_0050968,NYU_0050954,32,0.034259575575243256
NYU_0050969,NYU_0050954,32,0.11148857936306489
NYU_0050970,NYU_0050954,32,0.069456874541954094
NYU_0050972,NYU_0050954,32,0.092234195294325041
NYU_0050973,NYU_0050954,32,0.069762083582981166
NYU_0050974,NYU_0050954,32,0.027969811876858642
NYU_0050976,NYU_0050954,32,0.070071979433995804
NYU_0050977,NYU_0050954,32,0.096516975687540627
NYU_0050978,NYU_0050954,32,0.042574980922172129
NYU_0050979,NYU_0050954,32,0.056699954832570933
NYU_0050981,NYU_0050954,32,0.051329080744721783
NYU_0050982,NYU_0050954,32,0.053835956193969865
NYU_0050983,NYU_0050954,32,0.056630731078917806
NYU_0050984,NYU_0050954,32,0.093999289324165153
NYU_0050985,NYU_0050954,32,0.061303303909596325
NYU_0050986,NYU_0050954,32,0.041555924490216382
NYU_0050987,NYU_0050954,32,0.077971911113676767
NYU_0050988,NYU_0050954,32,0.03671931040361797
NYU_0050989,NYU_0050954,32,0.13022593630731885
NYU_0050990,NYU_0050954,32,0.079776134282892056
NYU_0050991,NYU_0050954,32,0.041275327930935794
NYU_0050992,NYU_0050954,32,0.099762965440845564
NYU_0050993,NYU_0050954,32,0.085110723173740715
NYU_0050994,NYU_0050954,32,0.070934331191527686
NYU_0050995,NYU_0050954,32,0.075350285935972316
NYU_0050996,NYU_0050954,32,0.08995332273781545
NYU_0050997,NYU_0050954,32,0.071624645023229613
NYU_0050998,NYU_0050954,32,0.064504714862557697
NYU_0050999,NYU_0050954,32,0.094423844584128239
NYU_0051000,NYU_0050954,32,0.035970872343751903
NYU_0051001,NYU_0050954,32,0.054998256400723596
NYU_0051002,NYU_0050954,32,0.085946813139603243
NYU_0051003,NYU_0050954,32,0.041882719686735931
NYU_0051006,NYU_0050954,32,0.042903015830479375
NYU_0051007,NYU_0050954,32,0.019970180097978529
NYU_0051008,NYU_0050954,32,0.085329199722420979
NYU_0051009,NYU_0050954,32,0.085165826894611607
NYU_0051010,NYU_0050954,32,0.054794061146559166
NYU_0051011,NYU_0050954,32,0.085728160742678999
NYU_0051012,NYU_0050954,32,0.070075650494847222
NYU_0051013,NYU_0050954,32,0.075823431074099501
