train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,59,0.65353517695271046
NYU_0050956,NYU_0050954,59,0.72453765716908658
NYU_0050957,NYU_0050954,59,0.61005317568119632
NYU_0050958,NYU_0050954,59,0.69864817963423498
NYU_0050959,NYU_0050954,59,0.61420361883335184
NYU_0050960,NYU_0050954,59,0.6741800474912194
NYU_0050961,NYU_0050954,59,0.68052313489109184
NYU_0050962,NYU_0050954,59,0.63245602345903851
NYU_0050964,NYU_0050954,59,0.68178456347581573
NYU_0050965,NYU_0050954,59,0.63342279343563612
NYU_0050966,NYU_0050954,59,0.65547057603360714
NYU_0050967,NYU_0050954,59,0.66811974981191025
NYU_0050968,NYU_0050954,59,0.69579071736174358
NYU_0050969,NYU_0050954,59,0.59522179118478202
NYU_0050970,NYU_0050954,59,0.72446401831410612
NYU_0050972,NYU_0050954,59,0.69466667048370423
NYU_0050973,NYU_0050954,59,0.66240056314537621
NYU_0050974,NYU_0050954,59,0.64590194963988057
NYU_0050976,NYU_0050954,59,0.73037719662953571
NYU_0050977,NYU_0050954,59,0.63763030839568458
NYU_0050978,NYU_0050954,59,0.63811032967879333
NYU_0050979,NYU_0050954,59,0.63880146808644478
NYU_0050981,NYU_0050954,59,0.6862782077739854
NYU_0050982,NYU_0050954,59,0.68488507448263458
NYU_0050983,NYU_0050954,59,0.64365218355456555
NYU_0050984,NYU_0050954,59,0.63812555178389274
NYU_0050985,NYU_0050954,59,0.71488158178377403
NYU_0050986,NYU_0050954,59,0.71897442933605571
NYU_0050987,NYU_0050954,59,0.66971122019702267
NYU_0050988,NYU_0050954,59,0.57055177451495631
NYU_0050989,NYU_0050954,59,0.69995964296280433
NYU_0050990,NYU_0050954,59,0.6504715880821198
NYU_0050991,NYU_0050954,59,0.73350321811865771
NYU_0050992,NYU_0050954,59,0.71876387215181514
NYU_0050993,NYU_0050954,59,0.6314127267803521
NYU_0050994,NYU_0050954,59,0.74561811319917737
NYU_0050995,NYU_0050954,59,0.64885126168420282
NYU_0050996,NYU_0050954,59,0.69871160643296526
NYU_0050997,NYU_0050954,59,0.69540604569469311
NYU_0050998,NYU_0050954,59,0.73963273978831767
NYU_0050999,NYU_0050954,59,0.67484543353595061
NYU_0051000,NYU_0050954,59,0.60154486448584055
NYU_0051001,NYU_0050954,59,0.70660351790352849
NYU_0051002,NYU_0050954,59,0.62261411202333339
NYU_0051003,NYU_0050954,59,0.72191740139277616
NYU_0051006,NYU_0050954,59,0.70079100390606319
NYU_0051007,NYU_0050954,59,0.55674524324505015
NYU_0051008,NYU_0050954,59,0.59041222374023949
NYU_0051009,NYU_0050954,59,0.57517394935580257
NYU_0051010,NYU_0050954,59,0.59671173535687239
NYU_0051011,NYU_0050954,59,0.67175133495860639
NYU_0051012,NYU_0050954,59,0.73066150297406995
NYU_0051013,NYU_0050954,59,0.71039681936002463
NYU_0051014,NYU_0050954,59,0.75634137648449073
NYU_0051015,NYU_0050954,59,0.60698650231855211
NYU_0051016,NYU_0050954,59,0.72238062165873951
NYU_0051017,NYU_0050954,59,0.68733681640161692
NYU_0051018,NYU_0050954,59,0.64946666023389854
NYU_0051019,NYU_0050954,59,0.65782755336066223
NYU_0051020,NYU_0050954,59,0.5902857402096342
NYU_0051021,NYU_0050954,59,0.63917351107136977
NYU_0051023,NYU_0050954,59,0.62394681357810966
NYU_0051024,NYU_0050954,59,0.65945061937874638
NYU_0051025,NYU_0050954,59,0.6737868151864258
NYU_0051026,NYU_0050954,59,0.71125037639795952
NYU_0051027,NYU_0050954,59,0.74555130418537718
NYU_0051028,NYU_0050954,59,0.65205877036185611
NYU_0051029,NYU_0050954,59,0.67627662056244475
NYU_0051030,NYU_0050954,59,0.58540713637185371
NYU_0051032,NYU_0050954,59,0.66812215408364872
NYU_0051033,NYU_0050954,59,0.59984334081995261
NYU_0051034,NYU_0050954,59,0.71597240778779192
NYU_0051035,NYU_0050954,59,0.72001274950636995
NYU_0051036,NYU_0050954,59,0.71090758622947947
NYU_0051038,NYU_0050954,59,0.72700819034791442
NYU_0051039,NYU_0050954,59,0.64513511962223569
NYU_0051040,NYU_0050954,59,0.65885408533844536
NYU_0051041,NYU_0050954,59,0.72689021345803506
NYU_0051042,NYU_0050954,59,0.6345134548706971
NYU_0051044,NYU_0050954,59,0.70330470299146564
NYU_0051045,NYU_0050954,59,0.61491253004070201
NYU_0051046,NYU_0050954,59,0.68095560616841444
NYU_0051047,NYU_0050954,59,0.71161232785957551
NYU_0051048,NYU_0050954,59,0.73552223127069405
NYU_0051049,NYU_0050954,59,0.70458053355405648
NYU_0051050,NYU_0050954,59,0.64581189706849307
NYU_0051051,NYU_0050954,59,0.73002797493872928
NYU_0051052,NYU_0050954,59,0.57035649734923077
NYU_0051053,NYU_0050954,59,0.72237046291914087
NYU_0051054,NYU_0050954,59,0.68716119320549118
NYU_0051055,NYU_0050954,59,0.6512183280762488
NYU_0051056,NYU_0050954,59,0.60004538929507312
NYU_0051057,NYU_0050954,59,0.68036654754079562
NYU_0051058,NYU_0050954,59,0.6420536780136199
NYU_0051059,NYU_0050954,59,0.65025407861008877
NYU_0051060,NYU_0050954,59,0.71535154025233083
NYU_0051061,NYU_0050954,59,0.60718379952668744
NYU_0051062,NYU_0050954,59,0.60065742525468602
NYU_0051063,NYU_0050954,59,0.71390855835923839
NYU_0051064,NYU_0050954,59,0.74673211747253465
NYU_0051065,NYU_0050954,59,0.69382176358046399
NYU_0051066,NYU_0050954,59,0.65508030258942729
NYU_0051067,NYU_0050954,59,0.66189614872127689
NYU_0051068,NYU_0050954,59,0.74358067422640706
NYU_0051069,NYU_0050954,59,0.68409176662010451
NYU_0051070,NYU_0050954,59,0.58935201466512732
NYU_0051071,NYU_0050954,59,0.69169842732044451
NYU_0051072,NYU_0050954,59,0.45626239311432931
NYU_0051073,NYU_0050954,59,0.63423894807881864
NYU_0051074,NYU_0050954,59,0.62720411198949766
NYU_0051075,NYU_0050954,59,0.58028227485880468
NYU_0051076,NYU_0050954,59,0.68063104975838606
NYU_0051077,NYU_0050954,59,0.54235933398266201
NYU_0051078,NYU_0050954,59,0.69066058517296003
NYU_0051079,NYU_0050954,59,0.7295870063138582
NYU_0051080,NYU_0050954,59,0.73168848984369284
NYU_0051081,NYU_0050954,59,0.63271610250001398
NYU_0051082,NYU_0050954,59,0.662214552661053
NYU_0051083,NYU_0050954,59,0.74793796199602935
NYU_0051084,NYU_0050954,59,0.74078314985722482
NYU_0051085,NYU_0050954,59,0.6804321185748724
NYU_0051086,NYU_0050954,59,0.58107161898610393
NYU_0051087,NYU_0050954,59,0.76857962865811114
NYU_0051088,NYU_0050954,59,0.68621502045204852
NYU_0051089,NYU_0050954,59,0.66305820652040792
NYU_0051090,NYU_0050954,59,0.6675636772561937
NYU_0051091,NYU_0050954,59,0.71977836044606414
NYU_0051093,NYU_0050954,59,0.6928141060350419
NYU_0051094,NYU_0050954,59,0.68612763637018237
NYU_0051095,NYU_0050954,59,0.65440190874394366
NYU_0051096,NYU_0050954,59,0.6080104811376037
NYU_0051097,NYU_0050954,59,0.72034658823052033
NYU_0051098,NYU_0050954,59,0.71566740962272879
NYU_0051099,NYU_0050954,59,0.72123600155605727
NYU_0051100,NYU_0050954,59,0.69991386870008565
NYU_0051101,NYU_0050954,59,0.69010876378076103
NYU_0051102,NYU_0050954,59,0.75102747723353158
NYU_0051103,NYU_0050954,59,0.69453478334047158
NYU_0051104,NYU_0050954,59,0.52289993251487255
NYU_0051105,NYU_0050954,59,0.60529509596911701
NYU_0051106,NYU_0050954,59,0.68072125113629378
NYU_0051107,NYU_0050954,59,0.65367901301628273
NYU_0051109,NYU_0050954,59,0.67605291369398035
NYU_0051110,NYU_0050954,59,0.64136789766757185
NYU_0051111,NYU_0050954,59,0.72985273298282949
NYU_0051112,NYU_0050954,59,0.66735985363316708
NYU_0051113,NYU_0050954,59,0.56911004758278372
NYU_0051114,NYU_0050954,59,0.70556978976566953
NYU_0051116,NYU_0050954,59,0.69203929884941107
NYU_0051117,NYU_0050954,59,0.68693476851100954
NYU_0051118,NYU_0050954,59,0.69297261539479438
NYU_0051121,NYU_0050954,59,0.65053740006322081
NYU_0051122,NYU_0050954,59,0.72761111707437942
NYU_0051123,NYU_0050954,59,0.63858921331063101
NYU_0051124,NYU_0050954,59,0.66304564170535274
NYU_0051126,NYU_0050954,59,0.72019464981044967
NYU_0051127,NYU_0050954,59,0.62840741955903101
NYU_0051128,NYU_0050954,59,0.67318375070207781
NYU_0051129,NYU_0050954,59,0.65760856087532416
NYU_0051130,NYU_0050954,59,0.63579562807850076
NYU_0051131,NYU_0050954,59,0.69446185543569217
NYU_0051146,NYU_0050954,59,0.59936561740221939
NYU_0051147,NYU_0050954,59,0.71605721538647382
NYU_0051148,NYU_0050954,59,0.68110228966795405
NYU_0051149,NYU_0050954,59,0.4786490936887996
NYU_0051150,NYU_0050954,59,0.63057978534751302
NYU_0051151,NYU_0050954,59,0.76002178719326352
NYU_0051152,NYU_0050954,59,0.71047151202322134
NYU_0051153,NYU_0050954,59,0.7233289059464173
NYU_0051154,NYU_0050954,59,0.63222928655881894
NYU_0051155,NYU_0050954,59,0.58384708343019698
NYU_0051156,NYU_0050954,59,0.49248928100330991
NYU_0051159,NYU_0050954,59,0.73749548339558857
NYU_0050954,NYU_0050955,59,0.65945966986589599
NYU_0050956,NYU_0050955,59,0.71578194616263957
NYU_0050957,NYU_0050955,59,0.66911458098893084
NYU_0050958,NYU_0050955,59,0.72193898800439482
NYU_0050959,NYU_0050955,59,0.66330894134313056
NYU_0050960,NYU_0050955,59,0.66984241029981439
NYU_0050961,NYU_0050955,59,0.68858846534697837
NYU_0050962,NYU_0050955,59,0.62832773689754917
NYU_0050964,NYU_0050955,59,0.69097062952780797
NYU_0050965,NYU_0050955,59,0.75379988730467629
NYU_0050966,NYU_0050955,59,0.77154000913414555
NYU_0050967,NYU_0050955,59,0.7480709364773428
NYU_0050968,NYU_0050955,59,0.77334566581259057
NYU_0050969,NYU_0050955,59,0.67760177513326281
NYU_0050970,NYU_0050955,59,0.76011837843600061
NYU_0050972,NYU_0050955,59,0.74182478694995568
NYU_0050973,NYU_0050955,59,0.70727003825141865
NYU_0050974,NYU_0050955,59,0.77812272671667848
NYU_0050976,NYU_0050955,59,0.72655677814417619
NYU_0050977,NYU_0050955,59,0.81250785910584333
NYU_0050978,NYU_0050955,59,0.67261993538760845
NYU_0050979,NYU_0050955,59,0.74629344397702557
NYU_0050981,NYU_0050955,59,0.80263193304310476
NYU_0050982,NYU_0050955,59,0.75035694964137944
NYU_0050983,NYU_0050955,59,0.71831161971241542
NYU_0050984,NYU_0050955,59,0.76865114449902805
NYU_0050985,NYU_0050955,59,0.77148676846968911
NYU_0050986,NYU_0050955,59,0.70848563174107448
NYU_0050987,NYU_0050955,59,0.80539272790478023
NYU_0050988,NYU_0050955,59,0.73474539308490205
NYU_0050989,NYU_0050955,59,0.66621893228085993
NYU_0050990,NYU_0050955,59,0.72190659690472969
NYU_0050991,NYU_0050955,59,0.69778199517729922
NYU_0050992,NYU_0050955,59,0.79232467654120309
NYU_0050993,NYU_0050955,59,0.70318244429633836
NYU_0050994,NYU_0050955,59,0.77297433006689786
NYU_0050995,NYU_0050955,59,0.77663479244093825
NYU_0050996,NYU_0050955,59,0.60319182282126804
NYU_0050997,NYU_0050955,59,0.72695537966749968
NYU_0050998,NYU_0050955,59,0.76732413849339798
NYU_0050999,NYU_0050955,59,0.77452708578796325
NYU_0051000,NYU_0050955,59,0.67591279827877082
NYU_0051001,NYU_0050955,59,0.73895817925783747
NYU_0051002,NYU_0050955,59,0.76060522981283629
NYU_0051003,NYU_0050955,59,0.70825542613855397
NYU_0051006,NYU_0050955,59,0.77865521476963462
NYU_0051007,NYU_0050955,59,0.71141998732528766
NYU_0051008,NYU_0050955,59,0.70859639262199048
NYU_0051009,NYU_0050955,59,0.63126915195265154
NYU_0051010,NYU_0050955,59,0.72414982949707207
NYU_0051011,NYU_0050955,59,0.83333754666628646
NYU_0051012,NYU_0050955,59,0.73709277821357577
NYU_0051013,NYU_0050955,59,0.66246111736452595
NYU_0051014,NYU_0050955,59,0.80475171258914791
NYU_0051015,NYU_0050955,59,0.64542329230605666
NYU_0051016,NYU_0050955,59,0.7645736015683221
NYU_0051017,NYU_0050955,59,0.77618945466249012
NYU_0051018,NYU_0050955,59,0.74531066148918312
NYU_0051019,NYU_0050955,59,0.66090579490349355
NYU_0051020,NYU_0050955,59,0.72077973661808603
NYU_0051021,NYU_0050955,59,0.64984276047111589
NYU_0051023,NYU_0050955,59,0.71073101316682485
NYU_0051024,NYU_0050955,59,0.73237928233818894
NYU_0051025,NYU_0050955,59,0.71853263850628013
NYU_0051026,NYU_0050955,59,0.71067417327082372
NYU_0051027,NYU_0050955,59,0.83411610315943308
NYU_0051028,NYU_0050955,59,0.68039225278991877
NYU_0051029,NYU_0050955,59,0.75776854545898442
NYU_0051030,NYU_0050955,59,0.73573566339294971
NYU_0051032,NYU_0050955,59,0.68364347010462023
NYU_0051033,NYU_0050955,59,0.71880231102903858
NYU_0051034,NYU_0050955,59,0.77025047570474581
NYU_0051035,NYU_0050955,59,0.64968595270062535
NYU_0051036,NYU_0050955,59,0.73911663912612491
NYU_0051038,NYU_0050955,59,0.74107791184938732
NYU_0051039,NYU_0050955,59,0.80444840024103637
NYU_0051040,NYU_0050955,59,0.73443732389183036
NYU_0051041,NYU_0050955,59,0.73182848114273169
NYU_0051042,NYU_0050955,59,0.77178720036961379
NYU_0051044,NYU_0050955,59,0.79509303267984199
NYU_0051045,NYU_0050955,59,0.81025429301204988
NYU_0051046,NYU_0050955,59,0.79060113052159275
