train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,28,0.6249496350934346
NYU_0050956,NYU_0050954,28,0.57360835457174486
NYU_0050957,NYU_0050954,28,0.61026477862253115
NYU_0050958,NYU_0050954,28,0.57547137866038789
NYU_0050959,NYU_0050954,28,0.60301892897519771
NYU_0050960,NYU_0050954,28,0.61533047919512385
NYU_0050961,NYU_0050954,28,0.60682466313440997
NYU_0050962,NYU_0050954,28,0.52216964813094857
NYU_0050964,NYU_0050954,28,0.53931302397425096
NYU_0050965,NYU_0050954,28,0.60847268209549776
NYU_0050966,NYU_0050954,28,0.61738984407591091
NYU_0050967,NYU_0050954,28,0.54888389337213628
NYU_0050968,NYU_0050954,28,0.52881579635165932
NYU_0050969,NYU_0050954,28,0.6974353603116501
NYU_0050970,NYU_0050954,28,0.51222910511104525
NYU_0050972,NYU_0050954,28,0.5269920632354641
NYU_0050973,NYU_0050954,28,0.51609351045419749
NYU_0050974,NYU_0050954,28,0.59969014891032879
NYU_0050976,NYU_0050954,28,0.55307508721734477
NYU_0050977,NYU_0050954,28,0.60711140629653371
NYU_0050978,NYU_0050954,28,0.58359802342679268
NYU_0050979,NYU_0050954,28,0.56904058920110767
NYU_0050981,NYU_0050954,28,0.56881194766077092
NYU_0050982,NYU_0050954,28,0.51532390599611611
NYU_0050983,NYU_0050954,28,0.54907219580478561
NYU_0050984,NYU_0050954,28,0.62742606761955111
NYU_0050985,NYU_0050954,28,0.54883587288562619
NYU_0050986,NYU_0050954,28,0.54316772837629124
NYU_0050987,NYU_0050954,28,0.6156448503926617
NYU_0050988,NYU_0050954,28,0.57622538593885242
NYU_0050989,NYU_0050954,28,0.50529274280968617
NYU_0050990,NYU_0050954,28,0.53195929215329507
NYU_0050991,NYU_0050954,28,0.53190101283723756
NYU_0050992,NYU_0050954,28,0.59253677703773455
NYU_0050993,NYU_0050954,28,0.4602573465741861
NYU_0050994,NYU_0050954,28,0.58936096553476502
NYU_0050995,NYU_0050954,28,0.57506059922167851
NYU_0050996,NYU_0050954,28,0.56908934937242994
NYU_0050997,NYU_0050954,28,0.64541081624755503
NYU_0050998,NYU_0050954,28,0.55572652961808899
NYU_0050999,NYU_0050954,28,0.61629031597982109
NYU_0051000,NYU_0050954,28,0.61295910083737137
NYU_0051001,NYU_0050954,28,0.60503773807695627
NYU_0051002,NYU_0050954,28,0.63832183044387336
NYU_0051003,NYU_0050954,28,0.61925653613361842
NYU_0051006,NYU_0050954,28,0.4811660722275008
NYU_0051007,NYU_0050954,28,0.65258999983421662
NYU_0051008,NYU_0050954,28,0.58569988451940191
NYU_0051009,NYU_0050954,28,0.44309279317473871
NYU_0051010,NYU_0050954,28,0.61936502873689048
NYU_0051011,NYU_0050954,28,0.5796759406655464
NYU_0051012,NYU_0050954,28,0.54977648736163331
NYU_0051013,NYU_0050954,28,0.581139914703518
NYU_0051014,NYU_0050954,28,0.64716950836540821
NYU_0051015,NYU_0050954,28,0.55756708619969164
NYU_0051016,NYU_0050954,28,0.56778350418140244
NYU_0051017,NYU_0050954,28,0.54181468511192399
NYU_0051018,NYU_0050954,28,0.45892823261115923
NYU_0051019,NYU_0050954,28,0.57029291501016155
NYU_0051020,NYU_0050954,28,0.63260971722210024
NYU_0051021,NYU_0050954,28,0.51853570870026933
NYU_0051023,NYU_0050954,28,0.5959411439049328
NYU_0051024,NYU_0050954,28,0.5418880756226242
NYU_0051025,NYU_0050954,28,0.59852551117935493
NYU_0051026,NYU_0050954,28,0.53121519813155593
NYU_0051027,NYU_0050954,28,0.55388022479102605
NYU_0051028,NYU_0050954,28,0.48589522191416146
NYU_0051029,NYU_0050954,28,0.57929988469888061
NYU_0051030,NYU_0050954,28,0.57926632382743148
NYU_0051032,NYU_0050954,28,0.52827240353219485
NYU_0051033,NYU_0050954,28,0.56455638687543108
NYU_0051034,NYU_0050954,28,0.60799798225561585
NYU_0051035,NYU_0050954,28,0.63136695449835545
NYU_0051036,NYU_0050954,28,0.54062268202524189
NYU_0051038,NYU_0050954,28,0.62750359579654613
NYU_0051039,NYU_0050954,28,0.54301655539355109
NYU_0051040,NYU_0050954,28,0.60092793770535635
NYU_0051041,NYU_0050954,28,0.45412310292905883
NYU_0051042,NYU_0050954,28,0.62728381626584395
NYU_0051044,NYU_0050954,28,0.5209575355122108
NYU_0051045,NYU_0050954,28,0.60417710832629989
NYU_0051046,NYU_0050954,28,0.39402524550833434
NYU_0051047,NYU_0050954,28,0.54920269859595605
NYU_0051048,NYU_0050954,28,0.60220156801809754
NYU_0051049,NYU_0050954,28,0.63814740836791495
NYU_0051050,NYU_0050954,28,0.54897594806097616
NYU_0051051,NYU_0050954,28,0.59394200823444054
NYU_0051052,NYU_0050954,28,0.6586802988745043
