train,test,roi,pearsons correlation
NYU_0050955,NYU_0050954,73,0.10203428671390273
NYU_0050956,NYU_0050954,73,0.053626830012439709
NYU_0050957,NYU_0050954,73,0.084121562719169166
NYU_0050958,NYU_0050954,73,0.065830894495381098
NYU_0050959,NYU_0050954,73,0.082900940364010592
NYU_0050960,NYU_0050954,73,0.086015087173789667
NYU_0050961,NYU_0050954,73,0.050624007666251844
NYU_0050962,NYU_0050954,73,0.10368584020256189
NYU_0050964,NYU_0050954,73,0.068693758178410239
NYU_0050965,NYU_0050954,73,0.06739112061656545
NYU_0050966,NYU_0050954,73,0.081205326922648313
NYU_0050967,NYU_0050954,73,0.08932085847878396
NYU_0050968,NYU_0050954,73,0.064640750808677844
NYU_0050969,NYU_0050954,73,0.061153131202729992
NYU_0050970,NYU_0050954,73,0.096825703899825269
NYU_0050972,NYU_0050954,73,0.084029601577251381
NYU_0050973,NYU_0050954,73,0.049585950849940573
NYU_0050974,NYU_0050954,73,0.061705713181749736
NYU_0050976,NYU_0050954,73,0.081810822265478908
NYU_0050977,NYU_0050954,73,0.071025788773366044
NYU_0050978,NYU_0050954,73,0.078890512105514718
NYU_0050979,NYU_0050954,73,0.10236308142541804
NYU_0050981,NYU_0050954,73,0.080694333483570274
NYU_0050982,NYU_0050954,73,0.11740368496147142
NYU_0050983,NYU_0050954,73,0.078682383024325397
NYU_0050984,NYU_0050954,73,0.099302797533213694
NYU_0050985,NYU_0050954,73,0.091414641897438531
NYU_0050986,NYU_0050954,73,0.10010240082607838
NYU_0050987,NYU_0050954,73,0.088974561885608414
NYU_0050988,NYU_0050954,73,0.11457150668603289
NYU_0050989,NYU_0050954,73,0.069082181913026619
NYU_0050990,NYU_0050954,73,0.097942182719427034
NYU_0050991,NYU_0050954,73,0.1159308322660009
NYU_0050992,NYU_0050954,73,0.10450897923023279
NYU_0050993,NYU_0050954,73,0.10774577354873277
NYU_0050994,NYU_0050954,73,0.11272342661768316
NYU_0050995,NYU_0050954,73,0.086643278090767176
NYU_0050996,NYU_0050954,73,0.091858874306611077
NYU_0050997,NYU_0050954,73,0.068627698990003913
NYU_0050998,NYU_0050954,73,0.13155876255969803
NYU_0050999,NYU_0050954,73,0.096589027394345536
NYU_0051000,NYU_0050954,73,0.085261482072536462
NYU_0051001,NYU_0050954,73,0.10080750012028288
NYU_0051002,NYU_0050954,73,0.1147797221173726
NYU_0051003,NYU_0050954,73,0.086922038780321648
NYU_0051006,NYU_0050954,73,0.0906883484631128
NYU_0051007,NYU_0050954,73,0.11160363373832935
NYU_0051008,NYU_0050954,73,0.13030234789285366
NYU_0051009,NYU_0050954,73,0.055825616680801188
NYU_0051010,NYU_0050954,73,0.080880741044188492
NYU_0051011,NYU_0050954,73,0.073581555355965292
NYU_0051012,NYU_0050954,73,0.053890198634883486
NYU_0051013,NYU_0050954,73,0.047532412918336778
NYU_0051014,NYU_0050954,73,0.10166153141736449
NYU_0051015,NYU_0050954,73,0.036233627638729032
NYU_0051016,NYU_0050954,73,0.064517152012553203
NYU_0051017,NYU_0050954,73,0.054698265232192372
NYU_0051018,NYU_0050954,73,0.062852177146715732
NYU_0051019,NYU_0050954,73,0.094691196677320996
NYU_0051020,NYU_0050954,73,0.1019786226214498
NYU_0051021,NYU_0050954,73,0.096367527209922046
NYU_0051023,NYU_0050954,73,0.079506827626062496
NYU_0051024,NYU_0050954,73,0.074643681162279721
NYU_0051025,NYU_0050954,73,0.091580866979294365
NYU_0051026,NYU_0050954,73,0.059821597958734325
NYU_0051027,NYU_0050954,73,0.091450998593494773
NYU_0051028,NYU_0050954,73,0.073440714273801305
NYU_0051029,NYU_0050954,73,0.10965077970196041
NYU_0051030,NYU_0050954,73,0.11167069431577042
NYU_0051032,NYU_0050954,73,0.072386824107745301
NYU_0051033,NYU_0050954,73,0.11045569652983864
NYU_0051034,NYU_0050954,73,0.11326012464816121
NYU_0051035,NYU_0050954,73,0.1049844114780959
NYU_0051036,NYU_0050954,73,0.08168293557242963
NYU_0051038,NYU_0050954,73,0.10163881339249295
NYU_0051039,NYU_0050954,73,0.094229502404090892
NYU_0051040,NYU_0050954,73,0.023847575938364816
NYU_0051041,NYU_0050954,73,0.1070622984375896
NYU_0051042,NYU_0050954,73,0.12611489359241837
NYU_0051044,NYU_0050954,73,0.11757713151556841
